key,id
DEKALB AVE-BDNQR,270
42 ST-GRD CNTRL-4567S,314
CITY HALL-R,254
161 ST-YANKEE-4BD,39
FORDHAM ROAD-BD,293
RECTOR ST-R,421
QUEENSBORO PLZ-7NQ,418
PATH WTC-1,406
E 143 ST-6,276
SUTTER AVE-3,445
MT EDEN AVE-4,375
SUTPHIN-ARCHER-E,443
AVE N-F,185
HOWARD BCH-JFK-A,326
110 ST-CPN-23,244
BROADWAY-NQ,227
ASTOR PLACE-6,175
CHURCH AVE-FG,252
PRINCE ST-NR,413
BROADWAY/LAFAY-BDFQ6,191
67 AVE-MR,133
7 AVE-BQ,137
LEXINGTON AVE-NQR456,126
ROCKAWAY PKY-L,238
182-183 ST-BD,59
PELHAM PARKWAY-25,409
ALLERTON AVE-25,172
JAMAICA-VAN WYC-E,336
BARCLAYS CENTER-BDNQR2345,179
WOODLAWN ROAD-4,474
110 ST-CATHEDRL-1,241
BROOK AVE-6,229
BAY RIDGE AVE-R,196
WHITLOCK AVE-6,469
SUTPHIN BLVD-EJZ,36
34 ST-HERALD SQ-BDFMNQR,91
KINGS HIGHWAY-N,348
18 AVE-N,55
DYCKMAN-200 ST-A,275
HUNTERS PT AVE-7,329
ASTORIA DITMARS-NQ,177
BAY PARKWAY-D,193
161 ST-YANKEE-BD4,40
NEPTUNE AVE-F,381
GRANT AVE-A,313
GUN HILL ROAD-25,317
BAYCHESTER AVE-5,198
BOROUGH HALL/CT-2345R,216
GATES AVE-JZ,307
WHITEHALL S-FRY-R1,468
LIBERTY AVE-C,359
LEXINGTON AVE-F,358
7 AVE-53 ST-BDE,136
JAMAICA-179 ST-F,334
5 AVE-53 ST-EM,111
BEDFORD/NOSTRAN-G,210
8 ST-NYU-NR,152
WASHINGTON-36 A-NQ,96
ROCKAWAY AVE-C,425
BEEBE-39 AVE-NQ,99
JFK HOWARD BCH-A,326
HUDSON-80 ST-A,153
23 ST-5 AVE-NR,76
DELANCEY ST-FJMZ,272
MONTROSE AVE-L,370
149 ST-3 AVE-25,86
FLUSHING AVE-JM,290
NEW LOTS AVE-L,385
LONGWOOD AVE-6,361
WHITEHALL ST-R1,468
KINGS HIGHWAY-BQ,346
CORTLANDT ST-R,262
NEREID AVE-25,382
AVE P-F,186
ST LAWRENCE AVE-6,438
FRANKLIN AVE-2345S,296
VERNON/JACKSON-7,460
KINGSTON AVE-3,351
CANAL ST-JNQRZ6,237
168 ST-BROADWAY-AC1,45
18 AVE-F,54
AVE U-BQ,187
9 AVE-D,164
20 AVE-D,64
ASTORIA BLVD-NQ,176
69 ST-FISK AVE-7,135
ROCKAWAY PK 116-AS,427
ROOSEVELT AVE-EFMR7,341
BOROUGH HALL/CT-R2345,217
DYRE AVE-5,281
137 ST-CITY COL-1,23
ZEREGA AVE-6,478
61 ST/WOODSIDE-7,129
33 ST/RAWSON ST-7,90
AQUEDUCT TRACK-A,174
LAFAYETTE AVE-C,356
E TREMONT AVE-25,466
VAN ALSTON-21ST-G,67
59 ST-NR,127
ALABAMA AVE-J,171
AVE X-F,190
CHURCH AVE-BQ,251
PROSPECT AVE-25,414
ELDER AVE-6,283
LEFFERTS BLVD-A,399
23 ST-NR,76
PELHAM PARKWAY-5,410
MORRISON AVE-6,372
30 AV-NQ,88
FRESH POND ROAD-M,300
CLASSON AVE-G,256
FOREST PARKWAY-J,156
GRAHAM AVE-L,308
42 ST-PA BUS TE-ACENQRS1237,103
FLUSHING AVE-G,289
GRAND AV-NEWTON-MR,312
59 ST-NQR456,126
CYPRESS AVE-6,268
NEW LOTS AVE-3,384
NEWKIRK AVE-25,391
6 AVE-FLM123,128
DITMARS BL-31 S-NQ,177
174-175 ST-BD,50
LIVONIA AVE-L,360
AVE I-F,182
MYRTLE AVE-LM,378
8 ST-B'WAY NYU-NR,152
MARCY AVE-JMZ,365
149 ST-GR CONC-245,33
7 AV-PARK SLOPE-FG,138
NORWOOD AVE-JZ,395
BROADWAY-ENY-ACJLZ,225
HOYT ST-ASTORIA-NQ,176
BEDFORD AVE-L,207
BEDFORD PARK BL-4,208
JACKSON AVE-25,333
WAKEFIELD-241-2,463
ELMHURST AVE-MR,284
FOREST HILLS-71-EFMR,295
14 ST-6 AVE-FLM123,27
TIMES SQ-42 ST-ACENQRS1237,450
9 ST-DFGMNR,110
47-50 ST-ROCK-BDFM,108
8 AVE-N,151
DITMAS AVE-F,273
148 ST-LENOX-3,321
BUHRE AVE-6,231
BROADWAY-31 ST-NQ,227
5 AV/59 ST-NQR,112
3 AVE-L,87
242 ST-1,456
ESSEX ST-FJMZ,272
42 ST-PORT AUTH-ACENQRS1237,104
STILLWELL AVE-DFNQ,260
1 AVE-L,1
BOYD-88 ST-A,163
AVE M-BQ,184
EASTERN PKWY-23,282
CENTRAL AVE-M,243
28 ST-BROADWAY-NR,84
42 ST-PORT AUTH-ACENGRS1237,103
42 ST-PA BUS TE-ACENGRS1237,104
BAY PKY-22 AVE-N,195
138 ST-GR CONC-45,24
MAIN ST-7,291
NOSTRAND AVE-3,396
40 ST-LOWERY ST-7,101
FLATBUSH AVE-25,288
NOSTRAND AVE-AC,397
UTICA AVE-AC,455
BEVERLY ROAD-25,214
CORTLANDT ST-1,476
UNION TPK-KEW G-EF,345
57 ST-7 AVE-NQR,121
BEDFORD PARK BL-BD,209
SOUTH FERRY-1R,435
E 177 ST-PARKCH-6,402
HOYT/SCHERMER-ACG,328
8 AVE-ACEL,150
AVE U-N,189
57 ST-7 AV-NQR,121
NORWOOD-205 ST-D,394
59 ST-COLUMBUS-1ABCD,123
CHURCH AVE-25,250
14 ST-UNION SQ-LNQR456,29
AVE U-F,188
59 ST-456NQR,125
68ST-HUNTER COL-6,134
CASTLE HILL AVE-6,240
HUNTS POINT AVE-6,330
RALPH AVE-C,419
SARATOGA AVE-3,429
36 AV-NQ,96
AVE J-BQ,183
EUCLID AVE-AC,285
PARKSIDE AVE-BQ,403
MORGAN AVE-L,371
BURNSIDE AVE-4,233
VAN SICLEN AVE-3,457
5 AVE-59 ST-NQR,112
MOSHOLU PARKWAY-4,374
49 ST-7 AVE-NQR,109
AVE H-BQ,181
NECK ROAD-BQ,380
22 AVE-BAY PKY-F,194
28 ST-NR,84
SHEPHERD AVE-C,432
138 ST-3 AVE-6,85
42 ST-TIMES SQ-ACENQRS1237,450
VAN SICLEN AVE-JZ,458
14 ST-UNION SQ-456LNQR,28
25 AVE-D,80
18 AVE-D,53
PROSPECT AVE-R,415
4 AVE-DFGMNR,100
168 ST-BROADWAY-1AC,44
INTERVALE-163-25,331
5 AVE-BRYANT PK-7BDFM,102
OXFORD-104 ST-A,6
21 ST-F,68
20 AVE-N,65
75 AVE-EF,144
BURKE AVE-25,232
NEW UTRECHT AVE-ND,386
BARCLAYS CENTER-2345BDNQR,178
49 ST-NQR,109
59 ST-COLUMBUS-ABCD1,124
WILSON AVE-L,470
2 AVE-F,63
GREENWOOD-111-A,10
ROCKAWAY AVE-3,424
23 ST-6 AVE-FM,75
KINGS HIGHWAY-F,347
46 ST-BLISS ST-7,106
SUTTER AVE-L,444
FRANKLIN AVE-ACS,297
LEXINGTON-53 ST-EM6,357
BUSHWICK AVE-L,234
52 ST-LINCOLN-7,118
42 ST-TIMES SQ-1237ACENQRS,449
MYRTLE AVE-JMZ,242
AQUEDUCT-N CNDT-A,173
GUN HILL ROAD-5,318
OCEAN PARKWAY-Q,398
ELDERTS LANE-JZ,145
DEKALB AVE-L,271
ATLANTIC AVE-L,180
NASSAU ST-G,379
39 AV-NQ,99
VAN WYCK BLVD-EF,221
ROOSEVELT IS-F,428
FORDHAM ROAD-4,292
GRAND-30 AVE-NQ,88
GREENPOINT AVE-G,315
PRINCE ST-B'WAY-NR,413
CATHEDRL-110 ST-BC,242
TREMONT AVE-BD,452
MIDDLETOWN ROAD-6,369
CORTELYOU ROAD-BQ,261